bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n
1019500-0,1.6,gut,494239.515,6084093.949
1119503-0,2.3,befriedigend,492727.981,6074869.796
1119504-0,2.5,ausreichend,492821.204,6075575.263
1119505-0,2.8,ausreichend,494364.904,6083235.618
1119512-0,1.8,gut,492424.016,6073094.924
1119514-0,2.2,befriedigend,492821.343,6075576.248
1122500-1,2.4,befriedigend,526323.01,6072441.68
1122500-2,2.5,ausreichend,526323.01,6072441.68
1122501-0,2.4,befriedigend,526018.851,6073279.875
1122502-1,2.7,ausreichend,526116.946,6073642.057
1122502-2,2.7,ausreichend,526116.946,6073642.057
1122503-0,2.4,befriedigend,526519.074,6074228.335
1122504-0,2.3,befriedigend,526737.71,6074579.02
1122505-0,2.0,befriedigend,526612.374,6075562.13
1122506-1,2.8,ausreichend,526593.1,6076019.33
1122506-2,2.1,befriedigend,526593.1,6076019.33
1123500-0,2.3,befriedigend,535756.312,6073218.305
1123501-0,1.8,gut,535862.655,6073243.147
1123502-0,2.5,ausreichend,540252.686,6072584.411
1123511-0,2.3,befriedigend,534442.702,6072937.136
1219505-0,2.0,befriedigend,497185.849,6063215.6
1219506-0,2.0,befriedigend,493281.796,6067381.398
1219507-0,2.4,befriedigend,490948.209,6069417.072
1219508-0,2.1,befriedigend,498471.263,6069279.969
1219509-0,2.2,befriedigend,497827.854,6069928.538
1219510-0,2.0,befriedigend,494893.77,6071566.768
1219511-0,2.6,ausreichend,494893.77,6071566.768
1220505-0,1.9,gut,506598.41,6066765.141
1220506-0,2.2,befriedigend,503450.664,6066086.73
1221507-0,1.9,gut,515022.591,6069560.645
1221508-0,2.5,ausreichend,515368.294,6069490.831
1221509-0,1.6,gut,519043.524,6069989.174
1221510-0,1.9,gut,521200.756,6070072.279
1222500-0,2.4,befriedigend,525945.046,6061778.231
1222501-0,2.2,befriedigend,525695.313,6063581.054
1222502-0,2.3,befriedigend,525054.596,6065239.336
1222503-0,2.3,befriedigend,524849.456,6065636.804
1222504-1,2.5,ausreichend,524613.298,6066099.51
1222504-2,3.0,nicht ausreichend,524613.298,6066099.51
1222505-1,2.2,befriedigend,524440.544,6066426.775
1222505-2,2.3,befriedigend,524440.544,6066426.775
1222506-0,2.0,befriedigend,522738.352,6068786.524
1222507-0,2.7,ausreichend,522428.411,6069272.19
1222508-1,2.0,befriedigend,522274.191,6069559.302
1222508-2,2.5,ausreichend,522274.191,6069559.302
1222509-0,2.5,ausreichend,522103.568,6069979.552
1222510-0,1.8,gut,521688.096,6071211.706
1222511-0,2.1,befriedigend,521544.175,6071672.439
1222512-0,2.5,ausreichend,521386.364,6072191.765
1222518-0,2.1,befriedigend,524203.892,6064890.331
1222519-0,2.3,befriedigend,524797.645,6065124.965
1222520-0,2.5,ausreichend,525584.947,6065499.464
1222521-0,2.3,befriedigend,526915.137,6066434.86
1222522-0,2.5,ausreichend,527435.873,6067045.001
1222523-1,2.0,befriedigend,527712.878,6067894.193
1222523-2,2.0,befriedigend,527712.878,6067894.193
1222525-0,2.3,befriedigend,527123.134,6069118.18
1222526-0,2.4,befriedigend,523621.837,6069931.68
1222527-0,2.0,befriedigend,524270.765,6070128.519
1222528-1,2.3,befriedigend,524570.408,6070120.564
1222528-2,2.3,befriedigend,524570.408,6070120.564
1222529-1,2.2,befriedigend,524721.397,6070090.267
1222529-2,2.3,befriedigend,524721.397,6070090.267
1222536-0,2.2,befriedigend,523265.362,6069784.601
1222544-0,1.9,gut,527503.812,6068565.533
1222545-0,3.0,nicht ausreichend,526357.331,6072203.435
1222546-0,2.5,ausreichend,526991.304,6069296.933
1222547-1,2.0,befriedigend,526942.314,6069359.303
1222547-2,2.2,befriedigend,526942.314,6069359.303
1222548-1,2.3,befriedigend,526397.405,6070014.493
1222548-2,2.7,ausreichend,526397.405,6070014.493
1222549-1,2.9,ausreichend,526035.96,6070675.153
1222549-2,2.2,befriedigend,526035.96,6070675.153
1222550-0,2.0,befriedigend,526235.877,6071739.095
1222565-0,2.3,befriedigend,528080.046,6067857.82
1222566-1,2.7,ausreichend,528682.315,6068178.121
1222566-2,2.8,ausreichend,528682.315,6068178.121
1222567-1,2.2,befriedigend,528973.159,6068323.012
1222567-2,2.3,befriedigend,528973.159,6068323.012
1222568-1,2.1,befriedigend,529439.525,6068621.37
1222568-2,1.5,gut,529440.14,6068622.15
1222570-0,1.7,gut,529592.787,6069391.959
1222571-0,2.2,befriedigend,529690.168,6070007.797
1222572-0,1.8,gut,529808.808,6070535.444
1222573-0,1.9,gut,529889.574,6070944.437
1222574-0,1.9,gut,529918.95,6071255.124
1222580-0,2.2,befriedigend,529740.723,6071525.187
1222583-0,1.9,gut,529827.882,6071812.636
1224503-0,2.8,ausreichend,542882.594,6071101.71
1224504-0,2.0,befriedigend,542972.305,6071090.854
1224505-0,2.2,befriedigend,543549.892,6070346.878
1224506-0,2.9,ausreichend,551973.833,6067752.39
1225501-0,1.8,gut,557772.5,6066925.796
1319508-0,2.2,befriedigend,497530.052,6053525.776
1322501-0,2.3,befriedigend,529121.257,6050704.021
1322502-0,2.0,befriedigend,528291.171,6054585.381
1322503-0,2.7,ausreichend,528021.808,6056386.53
1322504-1,1.7,gut,527754.9,6057481.74
1322504-2,1.9,gut,527754.9,6057481.74
1322505-1,1.9,gut,527389.638,6058482.823
1322505-2,1.9,gut,527389.638,6058482.823
1322506-0,2.4,befriedigend,527122.628,6059063.143
1322507-0,2.7,ausreichend,526317.355,6060699.257
1324500-0,2.5,ausreichend,544460.114,6050908.309
1324501-0,1.7,gut,546886.111,6054106.645
1325500-0,1.9,gut,562081.814,6054935.152
1325501-0,1.7,gut,561926.506,6055637.272
1325502-0,2.0,befriedigend,561704.49,6056210.968
