bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
1119503-0,2.3,befriedigend,492727.981,6074869.796,54.82092047134847,8.88682229764968
1119504-0,2.5,ausreichend,492821.204,6075575.263,54.82726161170037,8.888255663019603
1119505-0,2.8,ausreichend,494364.904,6083235.618,54.896122024010744,8.912135153886698
1119514-0,2.2,befriedigend,492821.343,6075576.248,54.827270465553255,8.888257802230806
1122500-1,2.4,befriedigend,526323.01,6072441.68,54.798461782799784,9.409450767639061
1122500-2,2.5,ausreichend,526323.01,6072441.68,54.798461782799784,9.409450767639061
1122501-0,2.4,befriedigend,526018.851,6073279.875,54.80601008405369,9.404795020080929
1122502-1,2.7,ausreichend,526116.946,6073642.057,54.809259726699445,9.406353773940449
1122502-2,2.7,ausreichend,526116.946,6073642.057,54.809259726699445,9.406353773940449
1122503-0,2.4,befriedigend,526519.074,6074228.335,54.81450718855004,9.412664000530341
1122504-0,2.3,befriedigend,526737.71,6074579.02,54.81764699131322,9.416098491464616
1122506-1,2.8,ausreichend,526593.1,6076019.33,54.83059795581791,9.413980478012716
1122506-2,2.1,befriedigend,526593.1,6076019.33,54.83059795581791,9.413980478012716
1123500-0,2.3,befriedigend,535756.312,6073218.305,54.80485703966378,9.55627363343692
1123502-0,2.5,ausreichend,540252.686,6072584.411,54.79882001184836,9.626132869035223
1123511-0,2.3,befriedigend,534442.702,6072937.136,54.8024223041045,9.53580492254873
1219507-0,2.4,befriedigend,490948.209,6069417.072,54.77188950742241,8.85929328007426
1219508-0,2.1,befriedigend,498471.263,6069279.969,54.77073666051141,8.976237036002535
1219509-0,2.2,befriedigend,497827.854,6069928.538,54.77656282131444,8.966230918196178
1219511-0,2.6,ausreichend,494893.77,6071566.768,54.79126388972571,8.920587628011145
1220506-0,2.2,befriedigend,503450.664,6066086.73,54.742030193714896,9.05359981062423
1221508-0,2.5,ausreichend,515368.294,6069490.831,54.7723987525023,9.23889755765575
1222500-0,2.4,befriedigend,525945.046,6061778.231,54.702653640748096,9.4026199082711
1222501-0,2.2,befriedigend,525695.313,6063581.054,54.718867761445296,9.398903596160505
1222502-0,2.3,befriedigend,525054.596,6065239.336,54.73380243142324,9.389099853879497
1222503-0,2.3,befriedigend,524849.456,6065636.804,54.73738450194846,9.385948043542614
1222504-1,2.5,ausreichend,524613.298,6066099.51,54.741554277285395,9.382319414344696
1222504-2,3.0,nicht ausreichend,524613.298,6066099.51,54.741554277285395,9.382319414344696
1222505-1,2.2,befriedigend,524440.544,6066426.775,54.7445037084535,9.379663590442622
1222505-2,2.3,befriedigend,524440.544,6066426.775,54.7445037084535,9.379663590442622
1222507-0,2.7,ausreichend,522428.411,6069272.19,54.77016817849005,9.348627098251644
1222508-2,2.5,ausreichend,522274.191,6069559.302,54.77275520320048,9.346251982863352
1222509-0,2.5,ausreichend,522103.568,6069979.552,54.776539360242,9.34363170979364
1222511-0,2.1,befriedigend,521544.175,6071672.439,54.79177695817514,9.335061049014815
1222512-0,2.5,ausreichend,521386.364,6072191.765,54.79645067242702,9.332645088229356
1222518-0,2.1,befriedigend,524203.892,6064890.331,54.73070772426105,9.375859645586322
1222519-0,2.3,befriedigend,524797.645,6065124.965,54.732787361290825,9.385099738124971
1222520-0,2.5,ausreichend,525584.947,6065499.464,54.7361133909174,9.397358904221436
1222521-0,2.3,befriedigend,526915.137,6066434.86,54.744449940523445,9.418104004194936
1222522-0,2.5,ausreichend,527435.873,6067045.001,54.749904847081424,9.426250533232121
1222525-0,2.3,befriedigend,527123.134,6069118.18,54.76855252351778,9.421585452202713
1222526-0,2.4,befriedigend,523621.837,6069931.68,54.77604001066686,9.367230963412926
1222528-1,2.3,befriedigend,524570.408,6070120.564,54.777691897658656,9.381993319914821
1222528-2,2.3,befriedigend,524570.408,6070120.564,54.777691897658656,9.381993319914821
1222529-1,2.2,befriedigend,524721.397,6070090.267,54.77741221921216,9.384338088935834
1222529-2,2.3,befriedigend,524721.397,6070090.267,54.77741221921216,9.384338088935834
1222536-0,2.2,befriedigend,523265.362,6069784.601,54.774734920629356,9.36167744730066
1222545-0,3.0,nicht ausreichend,526357.331,6072203.435,54.796318993586276,9.409962944174062
1222546-0,2.5,ausreichend,526991.304,6069296.933,54.77016599474265,9.41955304687881
1222547-2,2.2,befriedigend,526942.314,6069359.303,54.770729115152704,9.418797356929408
1222548-1,2.3,befriedigend,526397.405,6070014.493,54.77664594055391,9.41038700183825
1222548-2,2.7,ausreichend,526397.405,6070014.493,54.77664594055391,9.41038700183825
1222549-1,2.9,ausreichend,526035.96,6070675.153,54.78260185390828,9.404827242397946
1222549-2,2.2,befriedigend,526035.96,6070675.153,54.78260185390828,9.404827242397946
1222565-0,2.3,befriedigend,528080.046,6067857.82,54.75717368434764,9.436336784714019
1222566-1,2.7,ausreichend,528682.315,6068178.121,54.760018047582584,9.445726774321614
1222566-2,2.8,ausreichend,528682.315,6068178.121,54.760018047582584,9.445726774321614
1222567-1,2.2,befriedigend,528973.159,6068323.012,54.76130341938626,9.450260823923639
1222567-2,2.3,befriedigend,528973.159,6068323.012,54.76130341938626,9.450260823923639
