bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
1019500-0,1.6,gut,494239.515,6084093.949,54.90383403691978,8.9101628686128
1119512-0,1.8,gut,492424.016,6073094.924,54.804965760638865,8.882138004527743
1122505-0,2.0,befriedigend,526612.374,6075562.13,54.82648833133827,9.414238449623257
1123501-0,1.8,gut,535862.655,6073243.147,54.805072683516386,9.557931037465165
1219505-0,2.0,befriedigend,497185.849,6063215.6,54.716231825449086,8.956315023012799
1219506-0,2.0,befriedigend,493281.796,6067381.398,54.75363204104019,8.895615029549697
1219510-0,2.0,befriedigend,494893.77,6071566.768,54.79126388972571,8.920587628011145
1220505-0,1.9,gut,506598.41,6066765.141,54.74809546368801,9.102509668678008
1221507-0,1.9,gut,515022.591,6069560.645,54.77303661138595,9.233527325822733
1221509-0,1.6,gut,519043.524,6069989.174,54.776751236148485,9.29606032540696
1221510-0,1.9,gut,521200.756,6070072.279,54.77741159979297,9.329603238910572
1222506-0,2.0,befriedigend,522738.352,6068786.524,54.765789754926004,9.353406683844195
1222508-1,2.0,befriedigend,522274.191,6069559.302,54.77275520320048,9.346251982863352
1222510-0,1.8,gut,521688.096,6071211.706,54.787630344298336,9.337264844394896
1222523-1,2.0,befriedigend,527712.878,6067894.193,54.75752093986686,9.4306349985076
1222523-2,2.0,befriedigend,527712.878,6067894.193,54.75752093986686,9.4306349985076
1222527-0,2.0,befriedigend,524270.765,6070128.519,54.77777796246334,9.37733558291384
1222544-0,1.9,gut,527503.812,6068565.533,54.763565444888066,9.427449952836055
1222547-1,2.0,befriedigend,526942.314,6069359.303,54.770729115152704,9.418797356929408
1222550-0,2.0,befriedigend,526235.877,6071739.095,54.79215256895346,9.408031871761384
1222568-2,1.5,gut,529440.14,6068622.15,54.763964466471876,9.457548063705927
1222570-0,1.7,gut,529592.787,6069391.959,54.770873367249884,9.459998820813135
1222572-0,1.8,gut,529808.808,6070535.444,54.781136472607926,9.46347404606616
1222573-0,1.9,gut,529889.574,6070944.437,54.784807064185166,9.464771910145556
1222574-0,1.9,gut,529918.95,6071255.124,54.78759728487018,9.465260730009955
1222583-0,1.9,gut,529827.882,6071812.636,54.79261275389858,9.463901962097518
1224504-0,2.0,befriedigend,542972.305,6071090.854,54.78517311729724,9.66821222619673
1225501-0,1.8,gut,557772.5,6066925.796,54.74626183318526,9.897496802921552
1322502-0,2.0,befriedigend,528291.171,6054585.381,54.637887632217605,9.438329707869642
1322504-1,1.7,gut,527754.9,6057481.74,54.66394608988825,9.430296126156621
1322504-2,1.9,gut,527754.9,6057481.74,54.66394608988825,9.430296126156621
