bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
2427509-0,3.7,ungenŸgend,580057.811,5934943.627,53.55726286516884,10.208572001297181
2434711-0,3.7,ungenŸgend,664168.384,5941663.784,53.59805274842973,11.480886899391496
2649503-0,3.8,ungenŸgend,824449.924,5922003.388,53.34740120075186,13.875474536309913
3250509-0,3.8,ungenŸgend,839932.563,5860497.285,52.78695740237715,14.042250016930877
3346021-0,3.7,ungenŸgend,799992.5,5839946.312,52.62643069274409,13.433141821600465
4010804-0,4.0,ungenŸgend,392922.632,5751459.001,51.903581062020415,7.443550733413648
4028504-0,3.8,ungenŸgend,600360.464,5752412.145,51.91339856425433,10.459127053973376
4149520-0,3.8,ungenŸgend,838824.121,5754585.417,51.839041967482025,13.919302711718286
4311503-0,4.0,ungenŸgend,406093.054,5722840.185,51.64870905434657,7.642671385878706
4411539-0,3.9,ungenŸgend,397109.709,5710005.91,51.53177512992947,7.516634060890571
4439761-0,4.0,ungenŸgend,727414.588,5719712.228,51.58251114006708,12.282604136575573
4506576-0,4.0,ungenŸgend,341014.116,5700900.99,51.43696515529475,6.712576579842761
4506997-A1,3.8,ungenŸgend,344320.178,5706345.983,51.486806004388434,6.75770593065478
4506997-A2,3.8,ungenŸgend,344320.178,5706345.983,51.486806004388434,6.75770593065478
4506997-B1,3.8,ungenŸgend,344368.929,5706335.513,51.48672535078021,6.758412140065884
4506997-B2,3.8,ungenŸgend,344368.929,5706335.513,51.48672535078021,6.758412140065884
4611518-0,3.7,ungenŸgend,405284.299,5687964.736,51.3350713904176,7.640344824810059
4836618-A1,3.8,ungenŸgend,689747.358,5667823.776,51.130402748455516,11.711947556006539
4836618-A2,3.7,ungenŸgend,689747.358,5667823.776,51.130402748455516,11.711947556006539
4907597-A2,3.9,ungenŸgend,357024.498,5655581.353,51.033972615774644,6.960850483397477
4912790-0,4.0,ungenŸgend,416842.882,5652972.736,51.022291646713235,7.8143266449010165
4947500-0,3.8,ungenŸgend,823247.936,5669776.287,51.088202891009914,13.6164763044093
5141605-0,3.9,ungenŸgend,747928.477,5635930.593,50.821929830320826,12.520265064643795
5142602-0,4.0,ungenŸgend,769056.417,5635569.924,50.80926676020145,12.819306493604984
5344511-0,3.6,ungenŸgend,789080.053,5619992.011,50.65989411554607,13.090587234190895
5344600-0,3.9,ungenŸgend,786036.252,5615295.592,50.6192665642079,13.044008355116564
5344603-0,4.0,ungenŸgend,786367.954,5615506.254,50.62099363338456,13.048848044718104
5442517-0,4.0,ungenŸgend,759890.002,5605810.651,50.546377373652184,12.668571136895038
5612618-1,4.0,ungenŸgend,414449.182,5574242.029,50.31407220075486,7.798412414010084
5615505-0,3.6,ungenŸgend,446953.082,5573243.784,50.308916803898164,8.2550264260221
5636501-0,3.8,ungenŸgend,692535.875,5577998.997,50.322601287759056,11.704858039487222
5718514-2,3.7,ungenŸgend,476506.531,5570630.945,50.287336949092904,8.670215997261382
5733502-0,3.8,ungenŸgend,665075.596,5566547.419,50.22802632331726,11.314445710972112
6020624-0,3.7,ungenŸgend,506052.179,5531950.064,49.939882997833294,9.084343406742676
6126650-0,3.7,ungenŸgend,571880.959,5527248.623,49.893309309782005,10.000780038062151
6326501-0,3.7,ungenŸgend,576987.733,5502174.005,49.66718219615334,10.06690425232276
6416707-2,4.0,ungenŸgend,453214.687,5489282.75,49.55433694635661,8.35314300410834
6423506-1,3.8,ungenŸgend,543961.433,5488972.917,49.55176187490046,9.607781642627184
6423506-2,3.8,ungenŸgend,543961.433,5488972.917,49.55176187490046,9.607781642627184
6507582-0,3.7,ungenŸgend,353633.361,5480153.942,49.45639616286562,6.980302534154811
6517520-A1,3.7,ungenŸgend,469419.506,5477212.983,49.44680981296123,8.57811820689755
6517520-A2,3.8,ungenŸgend,469419.506,5477212.983,49.44680981296123,8.57811820689755
6606554-2,4.0,ungenŸgend,335674.452,5467797.523,49.34074593705715,6.737791721224415
6707635-1,4.0,ungenŸgend,343610.303,5457411.862,49.24947722886173,6.8510228388103
6708540-1,4.0,ungenŸgend,354605.44,5457564.66,49.253561796137454,7.001953305478286
6708540-2,4.0,ungenŸgend,354605.44,5457564.66,49.253561796137454,7.001953305478286
6714552-A,3.7,ungenŸgend,433366.728,5450686.763,49.20535064787913,8.085221864255178
6928551-0,3.7,ungenŸgend,603394.013,5428577.875,49.00143332081481,10.41365681527225
6943508-0,4.0,ungenŸgend,782459.385,5443483.95,49.07932411503243,12.868328686948688
7038673-2,3.8,ungenŸgend,723965.382,5431270.078,48.99366994291467,12.061854008756658
7038675-0,3.7,ungenŸgend,724517.852,5430934.044,48.990450876623186,12.069209949333727
7038681-1,3.9,ungenŸgend,729802.457,5431844.317,48.99668381960345,12.141853939879725
7038681-2,3.7,ungenŸgend,729802.457,5431844.317,48.99668381960345,12.141853939879725
7121506-1,3.7,ungenŸgend,514428.674,5412349.928,48.86394409610278,9.196732677027118
7121506-2,3.7,ungenŸgend,514428.674,5412349.928,48.86394409610278,9.196732677027118
7223696-B,3.7,ungenŸgend,542986.523,5394586.24,48.702829285228084,9.584242476016726
7336715-2,3.8,ungenŸgend,699273.666,5390049.733,48.631733603873535,11.704699950229239
7625955-1,3.7,ungenŸgend,573553.5,5359060.358,48.38041945410806,9.99336206341338
7625955-2,3.8,ungenŸgend,573553.5,5359060.358,48.38041945410806,9.99336206341338
7638519-0,3.8,ungenŸgend,731233.985,5356152.979,48.31624215515265,12.11912415920874
7836629-1,4.0,ungenŸgend,702421.918,5340144.199,48.18225737558839,11.72331235808685
7836629-2,4.0,ungenŸgend,702421.918,5340144.199,48.18225737558839,11.72331235808685
8143513-0,3.7,ungenŸgend,790367.909,5306037.715,47.84202556302288,12.881025165277922
8242506-0,3.8,ungenŸgend,781509.398,5294062.242,47.738446670466736,12.755126541837246
8311531-0,3.7,ungenŸgend,392051.201,5282625.739,47.68799901418676,7.561515805490893
8333661-B,3.7,ungenŸgend,668365.249,5281074.12,47.661137016071066,11.242450131733987
